Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BACK,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,154.0,-89.5,0.0,top
BZ1,Buzzer,BUZ-TH_BD12.0-P7.60-D0.6-FD,148.6,-48.2,-90.0,top
D1,LED,LED_0402_1005Metric,146.78,-59.25,0.0,top
D2,LED,LED_0402_1005Metric,146.77,-57.0,0.0,top
DOWN,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,172.0,-89.5,0.0,top
ENTER,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,190.2,-74.5,0.0,top
MENU,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,154.0,-74.5,0.0,top
NEXT,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,190.2,-89.5,0.0,top
R1,2K2,R_0402_1005Metric,134.6982,-82.931,0.0,top
R2,1K,R_0402_1005Metric,149.26,-57.0,0.0,top
R3,1K,R_0402_1005Metric,149.27,-59.25,0.0,top
R7,68,R_0603_1608Metric,135.0,-85.5,0.0,top
R8,68,R_0603_1608Metric,135.0,-87.63,180.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,126.06,-85.0,0.0,top
UP,SW_Push,SW-SMD_4P-L12.0-W12.0-P5.00-LS15.2,172.0,-74.5,0.0,top
USB,USB_A,USB-A-TH_USB-M-1_C2346,116.647,-85.852,180.0,top
